Titulo;Descricao;Imagem;Pitch;Yaw;Pano_Destino_ID;poligono_json;Tipo_Poligono_CSS
Panorama 1;Bovinocultura, Mecanização agrícola, Culturas anuais, Fabrica de ração;;-0.1509599;1.602393612;bov_agri_pano;;
Panorama 3;Irrigação e Suinocultura;;-0.263664698;4.659393525;irrigacao_pano;;
Prédio Principal;;;0.01308819;0.572497407;predio_principal_pano;;
Cafeicultura;O Setor de Cafeicultura é uma área destinada ao  manejo e estudo do cafeeiro, com foco na aplicação de boas práticas agrícolas, inovação tecnológica e sustentabilidade. Ele serve como ambiente de ensino, pesquisa e extensão, oferecendo suporte a atividades práticas de manejo de plantas daninhas e práticas relacionadas ao cultivo do café, desde o plantio até a colheita. A área cultivada com café é composta por uma Unidade demonstrativa com diferentes  cultivares, além de áreas experimentais destinadas ao estudo de cultivares, nutrição, fitossanidade, podas, fisiologia, fenologia, respostas a estresses ambientais, índices espectrais, tecnologia da aplicação, análise de produtividade e qualidade de bebida. ;;-0.468287974;6.141046318;;;
Olericultura;;;;;;polygons/ortalicas.json;segura
PANCs;;;;;;polygons/PANCs.json;listrado-azul
Pitaia;;;;;;polygons/pitaia.json;listrado-amarelo
Grão-de-bico;;;;;;polygons/grao_de_bico.json;segura
Mandioca;;;;;;polygons/mandioca.json;listrado-amarelo
Culturas anuais;O setor de Culturas Anuais conta com uma área de aproximadamente 5 hectares, destinada ao ensino e à pesquisa, onde são realizadas atividades práticas voltadas às culturas de soja, feijão, milho, sorgo, arroz, trigo e algodão. O espaço também oferece a possibilidade de implantação de campos demonstrativos para cursos de capacitação e para o desenvolvimento de pesquisas em condições de campo.;;;;;polygons/culturas_anuais_fito.json;listrado-tracejado-amarelo
Silvicultura e Sistemas Agroflorestais;O Setor de Silvicultura e Sistemas Agroflorestais (SAFs) é um espaço voltado ao manejo sustentável de espécies florestais e à integração produtiva entre árvores e culturas agrícolas. Seu objetivo principal é promover o uso racional dos recursos naturais por meio da diversificação da produção, da conservação do solo e da água e da recuperação de áreas degradadas, aliando sustentabilidade ambiental. O setor trabalha com o cultivo de espécies arbóreas nativas e exóticas, destinadas a recuperação de áreas, produção de madeira, biomassa, sementes, mudas e produtos agrícolas. São realizadas práticas relacionadas à avaliação do crescimento e da qualidade da madeira, aos tratos culturais em espécies arbóreas, ao arranjo de implantação, bem como à produção de mudas e aos tratos culturais das culturas agrícolas manejadas em consórcio.O setor conta com áreas demonstrativas para o ensino prático da Silvicultura e Fruticultura. As atividades desenvolvidas nesse setor visam capacitar estudantes e produtores no planejamento, implantação e manejo de sistemas florestais e agroflorestais sustentáveis;;;;;polygons/SAF.json;listrado-verde
Irrigação;O Setor de Irrigação e Drenagem, com cerca de 6 hectares, é um espaço multifuncional voltado ao ensino, pesquisa e extensão em manejo hídrico na agricultura. Funciona como laboratório a céu aberto, com tecnologias modernas e estação meteorológica para práticas com sistemas de irrigação e drenagem. Serão implantados quatro sistemas distintos: gotejamento, microaspersão, aspersão convencional fixa e móvel, permitindo estudos comparativos e aplicação prática em diferentes contextos. O setor promove também capacitação técnica por meio de cursos, oficinas e dias de campo, estimulando o uso racional da água. Alinhado à Política Estadual de Agricultura Irrigada Sustentável (PL 754/15), contribui para a gestão eficiente da água, o aumento da produtividade agrícola e a formação de profissionais preparados para os desafios do agronegócio.;;;;;polygons/irrigacao_fito.json;azul
Casa de mel;;casa_mel.jpg, mel1.jpg, mel2.jpg, mel3.jpg, mel4.jpg;-0.4813;0.385;;;
Colmeias;A apicultura criação racional de abelhas do gênero Apis – é uma das atividades agropecuárias com grande potencial de gerar impactos sociais, econômicos e ecológicos no Brasil. No ITAP a apicultura além de fins didáticos é para produção e mel e extrato de própolis. Hoje, nosso apiário consta de 15 colmeias e uma casa de mel.;colmeia2.jpg, abelhas.jpg, colmeia1.jpg, colmeia3.jpg;-0.1061;0.3018;;;
Estufa;;;-0.6581;0.1984;estufa_pano;;
Avicultura;;;-0.1177;0.9713;aviario_pano;;
Floresta;As matas do ITAP representam um patrimônio ambiental de grande relevância, totalizando 248 hectares de áreas preservadas, que englobam Áreas de Preservação Permanente (APP), reserva legal e excedentes de vegetação nativa. Localizado na zona de transição entre os biomas da Mata Atlântica e do Cerrado, o instituto abriga uma rica biodiversidade, refletida na variedade de espécies vegetais e animais que ocupam esse ecossistema. As imagens registradas pelo balão demonstram alguns dos animais silvestres que habitam o território do ITAP, evidenciando a importância da conservação e do monitoramento dessas áreas naturais.;tatu.webp, capivara.webp, lobo_guara.webp, paca.webp, cachorro_mato.webp, veado.webp, guio.webp, mao_pelada.webp, quati.webp;-0.0756;5.7959;;;
