Titulo;Descricao;Imagem;Pitch;Yaw;Pano_Destino_ID;poligono_json;Tipo_Poligono_CSS
Corredor;;;-0.1525;5.9155;corredor5_pano;;
Sala de Apoio;;;-0.1343;4.3867;lab_bio_apoio_pano;;
Matrice 350 RTK 1;O DJI Matrice 350 RTK é uma plataforma aérea robusta e de alto desempenho, desenvolvida para aplicações profissionais exigentes, como aerolevantamentos, mapeamentos agrícolas e estudos ambientais. Equipado com sistema RTK (Real-Time Kinematic), garante posicionamento centimétrico e alta estabilidade em voo, mesmo em condições desafiadoras. Sua compatibilidade com múltiplos sensores avançados o torna extremamente versátil. Quando utilizado com o Zenmuse L1, permite a realização de levantamentos LiDAR precisos em áreas com ou sem vegetação, possibilitando a geração de modelos digitais do terreno em regiões agrícolas e florestais densas. Com a MicaSense Altum-PT, o Matrice 350 RTK realiza mapeamentos multiespectrais e térmicos simultaneamente, ideal para análises agronômicas aprofundadas, como estresse hídrico, variabilidade nutricional e planejamento de manejo diferenciado. Já com a Cubert X20 Plus, câmera hiperespectral de alta resolução, o drone é capaz de capturar centenas de bandas espectrais para identificar compostos químicos específicos em plantas e solos, sendo uma ferramenta poderosa em pesquisas agrícolas e ambientais de alta precisão. A robustez, autonomia e capacidade de integração do Matrice 350 RTK o consolidam como uma solução completa para operações complexas em agricultura de precisão, silvicultura e levantamento topográfico.;;-0.4971;3.2473;;;
Matrice 350 RTK 2;O DJI Matrice 350 RTK é uma plataforma aérea robusta e de alto desempenho, desenvolvida para aplicações profissionais exigentes, como aerolevantamentos, mapeamentos agrícolas e estudos ambientais. Equipado com sistema RTK (Real-Time Kinematic), garante posicionamento centimétrico e alta estabilidade em voo, mesmo em condições desafiadoras. Sua compatibilidade com múltiplos sensores avançados o torna extremamente versátil. Quando utilizado com o Zenmuse L1, permite a realização de levantamentos LiDAR precisos em áreas com ou sem vegetação, possibilitando a geração de modelos digitais do terreno em regiões agrícolas e florestais densas. Com a MicaSense Altum-PT, o Matrice 350 RTK realiza mapeamentos multiespectrais e térmicos simultaneamente, ideal para análises agronômicas aprofundadas, como estresse hídrico, variabilidade nutricional e planejamento de manejo diferenciado. A robustez, autonomia e capacidade de integração do Matrice 350 RTK o consolidam como uma solução completa para operações complexas em agricultura de precisão, silvicultura e levantamento topográfico.;;-0.7329;2.3534;;;
Mavic 3M;O DJI Mavic 3 Multispectral (Mavic 3M) é um drone compacto e versátil equipado com uma câmera RGB de 20 MP e um sistema de imagem multiespectral com quatro bandas (verde, vermelho, red edge e infravermelho próximo), projetado especificamente para aplicações em agricultura de precisão e monitoramento ambiental. Combinando imagens multiespectrais com dados GNSS de alta precisão (RTK), o Mavic 3M permite o mapeamento detalhado de lavouras, possibilitando análises como o índice de vegetação (NDVI), identificação de estresse hídrico, deficiências nutricionais e detecção precoce de pragas e doenças. Em aerolevantamentos de áreas agrícolas e florestais, ele fornece informações valiosas sobre o vigor da vegetação e a heterogeneidade das áreas de cultivo. Embora não seja um sensor LiDAR, pode ser utilizado em conjunto com modelos digitais pré-existentes para monitoramento da cobertura vegetal em áreas de relevo acidentado ou com vegetação nativa, sendo uma ferramenta eficiente para o acompanhamento contínuo da saúde da vegetação com excelente relação entre custo, agilidade e precisão.;m3m.jpeg;-0.6706;5.8618;;;
Agras T25 (agroquímicos);O DJI Agras T25 é um drone agrícola compacto e avançado, projetado para operações de pulverização, dispersão e mapeamento em pequenas e médias propriedades. Leve e dobrável, pode ser operado por uma única pessoa e transportado facilmente. Equipado com um tanque de pulverização de 20 kg (20 L) com vazão de até 16 L/min — que pode chegar a 24 L/min com quatro aspersores —, ele produz gotas finas (50–500 µm) para cobertura uniforme sem vazamentos. Também dispõe de um sistema de dispersão com capacidade de 25 kg (72 kg/min), ideal para fertilizantes ou sementes. Para segurança e precisão, inclui radares phased‑array frontais e traseiros, visão binocular, desvio de obstáculos multidirecional e acompanhamento de terreno em até 50°. Além disso, possui câmera FPV estabilizada, transmissão O3 com alcance de até 2 km, posicionamento RTK/GNSS com precisão centimétrica, e suporte a mapeamento automático, conseguindo mapear até 13 ha em 10 minutos e pulverizar aproximadamente 12 ha por hora.;t25.png;-0.4763;4.2985;;;
Agras T25 (produtos orgânicos);O DJI Agras T25 é um drone agrícola compacto e avançado, projetado para operações de pulverização, dispersão e mapeamento em pequenas e médias propriedades. Leve e dobrável, pode ser operado por uma única pessoa e transportado facilmente. Equipado com um tanque de pulverização de 20 kg (20 L) com vazão de até 16 L/min — que pode chegar a 24 L/min com quatro aspersores —, ele produz gotas finas (50–500 µm) para cobertura uniforme sem vazamentos. Também dispõe de um sistema de dispersão com capacidade de 25 kg (72 kg/min), ideal para fertilizantes ou sementes. Para segurança e precisão, inclui radares phased‑array frontais e traseiros, visão binocular, desvio de obstáculos multidirecional e acompanhamento de terreno em até 50°. Além disso, possui câmera FPV estabilizada, transmissão O3 com alcance de até 2 km, posicionamento RTK/GNSS com precisão centimétrica, e suporte a mapeamento automático, conseguindo mapear até 13 ha em 10 minutos e pulverizar aproximadamente 12 ha por hora.;t25.png;-0.2649;4.96;;;
Micasense Altum-PT;A MicaSense Altum-PT é uma câmera avançada para drones, que combina sensores multiespectral, térmico e pancromático em um único equipamento, permitindo a captura simultânea de dados agrícolas com alta precisão. Utilizada na agricultura de precisão, ela fornece imagens alinhadas pixel a pixel que auxiliam na análise da saúde das plantas (NDVI, NDRE, dentre outros), identificação de estresse hídrico, falhas na irrigação, e estimativas de produtividade. Com alta resolução e sincronização de sensores, é ideal para monitoramento de lavouras, tomada de decisões agronômicas e pesquisas em fenotipagem vegetal. Utilizadas em conjunto com as RPAs Matrice 350 RTK;micasense.jpeg;-0.6405;0.3104;;;
Cubert X20 Plus;A Cubert ULTRIS X20 Plus é uma câmera hiperespectral compacta e leve (≈630g) para drones, equipada com tecnologia de campo de luz e sensor duplo (hiperespectral + pancromático). Ela captura simultaneamente 164 bandas espectrais entre 350 e 1000 nm com resolução espacial de 410×410 px, que pode ser aprimorada por pansharpening até 1886×1886 px. Graças ao obturador global, captura instantânea (“snapshot”) e até 8 Hz, gera cubos de dados em tempo real, permitindo o cálculo de índices espectrais durante o voo via software CUVIS. Com integração a drones como DJI Matrice 350 RTK via gimbal com mini-PC e GPS, é ideal para mapeamento aéreo de lavouras, detecção precoce de estresse vegetal, doenças, nutrientes e variações de vigor ao nível de folhas. ;cubert.jpeg;-0.4391;0.0196;;;
Lidar Zenmuse L1;O DJI Zenmuse L1 é um sensor LiDAR integrado com uma câmera RGB e um IMU de alta precisão, desenvolvido para uso com drones da série DJI Matrice 350 RTK. Projetado para realizar aerolevantamentos com alta densidade de pontos e precisão centimétrica, o L1 é especialmente eficiente em ambientes complexos, como áreas com cobertura vegetal densa ou terrenos acidentados. Na agricultura de precisão, o L1 permite a geração de modelos digitais de elevação (MDE) e terreno (MDT), mesmo em áreas com vegetação, o que auxilia no planejamento de curvas de nível, manejo da irrigação e análise do relevo para aplicação localizada de insumos. Em levantamentos florestais, a capacidade do LiDAR de penetrar o dossel permite mapear o sub-bosque, estimar volumes de madeira e monitorar a estrutura da vegetação com alto nível de detalhe. Sua integração com drones e softwares de pós-processamento torna o Zenmuse L1 uma solução poderosa para aerolevantamentos rápidos e precisos, contribuindo significativamente para a gestão territorial, ambiental e agrícola.;l1.jpeg;-0.3959;6.1266;;;
